t,qx,qy,qz,qw
0.6480000000,0.2363778109,0.2593445060,0.0232633364,0.9361222008
0.6680000000,0.2384955244,0.2591723913,0.0265018054,0.9355464770
0.6920000000,0.2410264951,0.2588329977,0.0303676480,0.9348740631
0.7120000000,0.2431242176,0.2584393497,0.0335927410,0.9343293023
0.7320000000,0.2452230256,0.2579358382,0.0368054221,0.9337987642
0.7520000000,0.2473306979,0.2573249716,0.0400013720,0.9332798482
0.7720000000,0.2494368651,0.2566233254,0.0432069797,0.9327694657
0.7920000000,0.2515467138,0.2558418582,0.0464219981,0.9322629417
0.8120000000,0.2536849651,0.2550437900,0.0496397334,0.9317362827
0.8360000000,0.2563091785,0.2541162338,0.0534950216,0.9310579077
0.8560000000,0.2585392616,0.2533544077,0.0567069504,0.9304586590
0.8800000000,0.2612480401,0.2524476013,0.0606206050,0.9297014641
0.8960000000,0.2630799381,0.2518203337,0.0632297907,0.9291810692
0.9120000000,0.2649336500,0.2511670863,0.0658320335,0.9286503105
0.9320000000,0.2672817244,0.2503073155,0.0690733302,0.9279739235
0.9480000000,0.2691825830,0.2495815725,0.0716729629,0.9274226448
0.9720000000,0.2720776373,0.2484038460,0.0755427978,0.9265865174
0.9960000000,0.2750427065,0.2471029945,0.0793159372,0.9257432699
1.0160000000,0.2775519461,0.2459283673,0.0824530960,0.9250327791
1.0360000000,0.2800964233,0.2446590221,0.0855749854,0.9243186022
1.0520000000,0.2821579584,0.2435649827,0.0880478100,0.9237481090
1.0720000000,0.2847628974,0.2420917685,0.0911158977,0.9230382230
1.0920000000,0.2873920488,0.2404969973,0.0941795647,0.9223324857
1.1160000000,0.2906104008,0.2383799039,0.0977414099,0.9215027038
1.1320000000,0.2927878534,0.2368598519,0.1000645349,0.9209559014
1.1520000000,0.2955637926,0.2348977141,0.1029227088,0.9202564993
1.1720000000,0.2984025919,0.2328776614,0.1057315682,0.9195350583
1.1920000000,0.3012903708,0.2307890505,0.1085006224,0.9187971167
1.2120000000,0.3042081152,0.2286203059,0.1112423218,0.9180497395
1.2360000000,0.3077413100,0.2258771689,0.1144479953,0.9171567189
1.2520000000,0.3101012071,0.2239606469,0.1165533616,0.9165665191
1.2720000000,0.3130383849,0.2214694633,0.1191720506,0.9158363766
1.2880000000,0.3153712597,0.2193932563,0.1212528309,0.9152624315
1.3080000000,0.3182565387,0.2166958770,0.1238403519,0.9145595878
1.3360000000,0.3222126814,0.2127347306,0.1274543148,0.9136073117
1.3560000000,0.3249646712,0.2097744368,0.1300279152,0.9129542099
1.3800000000,0.3281717214,0.2060801243,0.1331080425,0.9122042275
1.4040000000,0.3312673009,0.2022452207,0.1361786792,0.9114901060
1.4240000000,0.3337583502,0.1989540668,0.1387425756,0.9109188442
1.4400000000,0.3357128715,0.1963024011,0.1408229635,0.9104565493
1.4600000000,0.3381354813,0.1929789255,0.1434046324,0.9098673760
1.4800000000,0.3405280015,0.1896203133,0.1459533246,0.9092757799
1.5000000000,0.3428885718,0.1861949769,0.1484397385,0.9086938439
1.5160000000,0.3447391577,0.1834122993,0.1504111843,0.9082352764
1.5400000000,0.3474448081,0.1791541740,0.1533250696,0.9075666974
1.5600000000,0.3496307399,0.1755274291,0.1557069124,0.9070302226
1.5760000000,0.3513321010,0.1725731353,0.1575654422,0.9066186625
1.5960000000,0.3533871438,0.1688190788,0.1598587808,0.9061251654
1.6120000000,0.3549770786,0.1657587860,0.1616303744,0.9057543379
1.6280000000,0.3565116211,0.1626594392,0.1633806416,0.9053994349
1.6520000000,0.3587058309,0.1579384272,0.1659695871,0.9048976054
1.6680000000,0.3600908557,0.1547409642,0.1676716093,0.9045861159
1.6840000000,0.3614100086,0.1515020058,0.1693555650,0.9042945541
1.7080000000,0.3632556088,0.1465607574,0.1718419138,0.9039002510
1.7280000000,0.3646693106,0.1423596550,0.1738681047,0.9036149095
1.7480000000,0.3659786607,0.1380592089,0.1758001161,0.9033789869
1.7720000000,0.3674190624,0.1328438026,0.1780833892,0.9031290401
1.7880000000,0.3683421039,0.1293793714,0.1795979070,0.9029560701
1.8080000000,0.3694513013,0.1250540933,0.1814623922,0.9027395028
1.8280000000,0.3704973738,0.1207286924,0.1832974147,0.9025288564
1.8440000000,0.3712792361,0.1172657839,0.1847478634,0.9023683792
1.8640000000,0.3721967699,0.1128783813,0.1864084444,0.9022083614
1.8840000000,0.3730318764,0.1084517983,0.1879545992,0.9020856363
1.9000000000,0.3736298734,0.1049104881,0.1891710975,0.9020026624
1.9200000000,0.3742890679,0.1004872534,0.1906614616,0.9019191830
1.9400000000,0.3748526709,0.0960799055,0.1921230236,0.9018552382
1.9560000000,0.3752320849,0.0925785498,0.1932808830,0.9018162756
1.9720000000,0.3755461889,0.0891056926,0.1944344160,0.9017873881
1.9920000000,0.3758566546,0.0847654987,0.1957939016,0.9017823094
2.0120000000,0.3760688722,0.0805068723,0.1972130431,0.9017748403
2.0280000000,0.3761713214,0.0771512704,0.1983399028,0.9017782995
2.0520000000,0.3762172874,0.0722155769,0.2000139813,0.9017981318
2.0680000000,0.3761815370,0.0690037011,0.2011251053,0.9018174053
2.0880000000,0.3760666641,0.0650920903,0.2025120696,0.9018457438
2.1120000000,0.3758660649,0.0605532186,0.2041243141,0.9018820729
2.1320000000,0.3756994958,0.0569388784,0.2054237359,0.9018918681
2.1480000000,0.3755633981,0.0541610119,0.2064479711,0.9018857766
2.1720000000,0.3753451258,0.0501601927,0.2079431678,0.9018645300
2.1960000000,0.3751067442,0.0463528268,0.2093893836,0.9018328182
2.2120000000,0.3749350328,0.0439245959,0.2103377492,0.9018050689
2.2320000000,0.3746975988,0.0409743286,0.2114543111,0.9017815080
2.2480000000,0.3744860081,0.0386819044,0.2123018919,0.9017715047
2.2640000000,0.3742563570,0.0364584458,0.2131286905,0.9017644494
2.2800000000,0.3740080528,0.0342938060,0.2139241785,0.9017640252
2.3040000000,0.3736027797,0.0311640921,0.2150727556,0.9017724060
2.3280000000,0.3731659792,0.0281840512,0.2161767300,0.9017873544
2.3440000000,0.3728586697,0.0262823850,0.2168939362,0.9017996835
2.3640000000,0.3724536030,0.0239764155,0.2177473129,0.9018256776
2.3800000000,0.3721159402,0.0221997169,0.2184063617,0.9018511855
2.4000000000,0.3716930860,0.0200696788,0.2192087905,0.9018807926
2.4240000000,0.3712693766,0.0176880320,0.2201626941,0.9018728134
2.4480000000,0.3709262283,0.0154727544,0.2210886158,0.9018282270
2.4640000000,0.3707312118,0.0140754453,0.2216874390,0.9017843034
2.4800000000,0.3705570427,0.0127265169,0.2222564180,0.9017358807
2.5000000000,0.3703617879,0.0110813224,0.2228851069,0.9016826379
2.5200000000,0.3701927772,0.0095051374,0.2234887394,0.9016206206
2.5400000000,0.3700419161,0.0079867278,0.2240645288,0.9015543686
2.5640000000,0.3698830572,0.0062387981,0.2247344063,0.9014666095
2.5800000000,0.3697874578,0.0051146934,0.2251674577,0.9014048436
2.5960000000,0.3696973483,0.0040172509,0.2255882263,0.9013421573
2.6160000000,0.3695829927,0.0026350674,0.2260314460,0.9012831150
2.6360000000,0.3694754741,0.0012857269,0.2264651880,0.9012212490
2.6520000000,0.3693918849,0.0002259860,0.2268000475,0.9011721937
2.6680000000,0.3693104178,-0.0008179638,0.2271216780,0.9011242365
2.6880000000,0.3692161968,-0.0020947659,0.2275248567,0.9010590722
2.7040000000,0.3691534141,-0.0030784844,0.2278895053,0.9009898186
2.7240000000,0.3690796102,-0.0042834203,0.2283341790,0.9009025454
2.7400000000,0.3690437976,-0.0052442920,0.2286479037,0.9008325643
2.7680000000,0.3691085776,-0.0068633924,0.2291755017,0.9006610579
2.7880000000,0.3692238113,-0.0079907123,0.2295300939,0.9005142207
2.8080000000,0.3693738115,-0.0091077854,0.2298619129,0.9003574494
2.8240000000,0.3695079953,-0.0099989879,0.2301126297,0.9002288816
2.8440000000,0.3696760368,-0.0111263391,0.2303609048,0.9000831550
2.8640000000,0.3698273831,-0.0122805960,0.2305447472,0.8999588953
2.8840000000,0.3699547447,-0.0134586409,0.2306878882,0.8998530158
2.9080000000,0.3700708407,-0.0148919736,0.2308458391,0.8997421856
2.9280000000,0.3701371851,-0.0161023881,0.2309761882,0.8996605904
2.9480000000,0.3701676132,-0.0173310180,0.2311012546,0.8995931214
2.9640000000,0.3701655032,-0.0183263152,0.2312022406,0.8995483146
2.9920000000,0.3700901711,-0.0201358091,0.2313072004,0.8995136427
3.0160000000,0.3699576607,-0.0217350149,0.2313782653,0.8995126551
3.0360000000,0.3698362753,-0.0230835840,0.2314412571,0.8995127693
3.0560000000,0.3697739297,-0.0244289173,0.2315130721,0.8994843892
3.0760000000,0.3697666018,-0.0257660743,0.2315953232,0.8994289165
3.0960000000,0.3698027833,-0.0270970705,0.2316944092,0.8993494043
3.1120000000,0.3698475234,-0.0281809767,0.2317450940,0.8992846343
3.1280000000,0.3699040292,-0.0292720122,0.2317794950,0.8992176734
3.1480000000,0.3699881543,-0.0306321569,0.2318350432,0.8991234339
3.1640000000,0.3700593880,-0.0317151321,0.2318896309,0.8990424900
3.1840000000,0.3701507668,-0.0330615641,0.2319726873,0.8989349338
3.2040000000,0.3702452637,-0.0343953989,0.2320770980,0.8988190151
3.2240000000,0.3703419399,-0.0357137477,0.2322044144,0.8986948791
3.2440000000,0.3704372451,-0.0370166487,0.2323546468,0.8985640396
3.2640000000,0.3705188928,-0.0383064105,0.2324900993,0.8984412739
3.2840000000,0.3705903607,-0.0395733391,0.2326495422,0.8983156048
3.3000000000,0.3706332489,-0.0405707833,0.2327929998,0.8982162466
3.3160000000,0.3706599806,-0.0415561613,0.2329500253,0.8981194519
3.3360000000,0.3706685586,-0.0427707697,0.2331781022,0.8979996958
3.3560000000,0.3706410394,-0.0439736594,0.2334301230,0.8978874734
3.3760000000,0.3705745395,-0.0451673509,0.2337054957,0.8977840288
3.3920000000,0.3704902006,-0.0461181318,0.2339319447,0.8977115207
3.4120000000,0.3703681225,-0.0473114767,0.2341934360,0.8976316130
3.4320000000,0.3702870054,-0.0485054722,0.2344807994,0.8975263269
3.4560000000,0.3702187007,-0.0499478563,0.2348585258,0.8973766200
3.4800000000,0.3701456312,-0.0514037898,0.2352972098,0.8972096105
3.5000000000,0.3700464901,-0.0526437423,0.2356660245,0.8970818003
3.5200000000,0.3699163896,-0.0539103059,0.2360660142,0.8969550605
3.5360000000,0.3697838680,-0.0549476289,0.2364065285,0.8968570691
3.5560000000,0.3695791564,-0.0562749899,0.2368573542,0.8967401889
3.5760000000,0.3693314216,-0.0576445426,0.2373346668,0.8966290558
3.5960000000,0.3690418146,-0.0590635897,0.2378413516,0.8965216801
3.6160000000,0.3687113202,-0.0605444160,0.2383655219,0.8964196640
3.6320000000,0.3684220860,-0.0617633818,0.2388269584,0.8963326030
3.6480000000,0.3681053698,-0.0630233286,0.2393045044,0.8962476504
3.6640000000,0.3677593350,-0.0643254246,0.2397972190,0.8961655009
3.6840000000,0.3672777306,-0.0660144734,0.2404351963,0.8960692352
3.7080000000,0.3666217545,-0.0681232148,0.2412625960,0.8959576310
3.7280000000,0.3660051261,-0.0699575166,0.2419868137,0.8958730800
3.7480000000,0.3653505004,-0.0718744940,0.2427285820,0.8957878680
3.7720000000,0.3645862405,-0.0742739002,0.2436733742,0.8956469995
3.7880000000,0.3640737125,-0.0759330485,0.2443279873,0.8955380163
3.8080000000,0.3634053458,-0.0780712827,0.2451606382,0.8953980628
3.8320000000,0.3625306553,-0.0807230771,0.2461814715,0.8952373941
3.8520000000,0.3617175098,-0.0830017969,0.2470512500,0.8951183300
3.8720000000,0.3608141754,-0.0853454002,0.2479048275,0.8950265303
3.8880000000,0.3600271883,-0.0872573733,0.2485974784,0.8949669649
3.9080000000,0.3589595254,-0.0896877136,0.2494755322,0.8949112425
3.9320000000,0.3575491405,-0.0926523063,0.2505562664,0.8948719012
3.9480000000,0.3565289949,-0.0946524413,0.2512886355,0.8948642427
3.9640000000,0.3554482798,-0.0966676771,0.2520330149,0.8948693983
3.9880000000,0.3537049407,-0.0997308506,0.2531500906,0.8949087127
4.0040000000,0.3524652379,-0.1017891453,0.2539038533,0.8949525458
4.0240000000,0.3508367431,-0.1043691068,0.2548642176,0.8950222901
4.0440000000,0.3491251635,-0.1069503129,0.2558481890,0.8951061138
4.0640000000,0.3473359105,-0.1095264341,0.2568613233,0.8952005284
4.0800000000,0.3458702905,-0.1115817177,0.2576909012,0.8952757463
4.1000000000,0.3440578994,-0.1141565038,0.2587572619,0.8953419089
4.1200000000,0.3422468444,-0.1167406699,0.2598072049,0.8953987546
4.1360000000,0.3407993471,-0.1188032625,0.2606630267,0.8954308328
4.1560000000,0.3389816540,-0.1213626869,0.2617609367,0.8954572846
4.1760000000,0.3371523437,-0.1238934201,0.2628893051,0.8954707873
4.1960000000,0.3353130036,-0.1263875362,0.2640529385,0.8954705053
4.2240000000,0.3327288369,-0.1298095244,0.2657491737,0.8954431222
4.2440000000,0.3308786153,-0.1322058180,0.2670054723,0.8954044010
4.2600000000,0.3293994749,-0.1340924066,0.2680413268,0.8953597375
4.2760000000,0.3279181282,-0.1359507957,0.2691035339,0.8953046243
4.2960000000,0.3260589909,-0.1382345896,0.2704620491,0.8952245599
4.3200000000,0.3238212907,-0.1409164439,0.2721357684,0.8951114182
4.3400000000,0.3219539294,-0.1431025236,0.2735687208,0.8950013911
4.3640000000,0.3196926855,-0.1456763525,0.2753072489,0.8948636242
4.3800000000,0.3181969210,-0.1473750138,0.2764821974,0.8947563463
4.4000000000,0.3163881521,-0.1495017683,0.2779770294,0.8945817624
4.4160000000,0.3149733346,-0.1512029020,0.2791877500,0.8944180685
4.4320000000,0.3135769317,-0.1528989247,0.2804135326,0.8942369247
4.4520000000,0.3118487204,-0.1550077759,0.2819664652,0.8939898643
4.4800000000,0.3094341816,-0.1579400573,0.2841872653,0.8936123454
4.5000000000,0.3076885685,-0.1600374087,0.2858006901,0.8933273410
4.5240000000,0.3055692676,-0.1625294657,0.2877629518,0.8929748479
4.5440000000,0.3037738524,-0.1645780344,0.2894235535,0.8926754863
4.5640000000,0.3019464317,-0.1665942346,0.2911036879,0.8923751208
4.5840000000,0.3000880094,-0.1685683073,0.2927956218,0.8920777075
4.6040000000,0.2981940049,-0.1704937529,0.2944954804,0.8917873220
4.6200000000,0.2966545205,-0.1719910439,0.2958743428,0.8915568123
4.6440000000,0.2942990297,-0.1741591067,0.2979527231,0.8912243609
4.6600000000,0.2926978296,-0.1755473425,0.2993434494,0.8910132493
4.6760000000,0.2910752320,-0.1768873646,0.3007382044,0.8908100819
4.7000000000,0.2886047651,-0.1788061347,0.3028470265,0.8905163302
4.7200000000,0.2865131264,-0.1803182247,0.3046091957,0.8902857991
4.7400000000,0.2843937834,-0.1817513070,0.3063858737,0.8900642307
4.7600000000,0.2822745551,-0.1831357010,0.3081713342,0.8898386479
4.7800000000,0.2801908637,-0.1845006582,0.3099668704,0.8895915503
4.8000000000,0.2781255833,-0.1858377805,0.3117690300,0.8893315193
4.8200000000,0.2760613855,-0.1871373225,0.3135869611,0.8890629628
4.8400000000,0.2739795499,-0.1883930485,0.3154202804,0.8887931774
4.8560000000,0.2722835097,-0.1893675513,0.3168696446,0.8885917224
4.8800000000,0.2696593401,-0.1907820976,0.3189714001,0.8883373669
4.9000000000,0.2674221338,-0.1919065441,0.3207268180,0.8881393972
4.9160000000,0.2655961186,-0.1927741051,0.3221259201,0.8879930956
4.9320000000,0.2637363684,-0.1936145318,0.3235170156,0.8878588186
4.9560000000,0.2608919657,-0.1948260495,0.3255909191,0.8876760367
4.9760000000,0.2584727124,-0.1958016383,0.3272858129,0.8875458140
4.9960000000,0.2560122566,-0.1967472496,0.3289640476,0.8874293773
5.0120000000,0.2540212160,-0.1974795645,0.3303036181,0.8873412891
5.0360000000,0.2510006937,-0.1985415407,0.3323111705,0.8872142889
5.0560000000,0.2484630280,-0.1993956472,0.3339873825,0.8871076191
5.0720000000,0.2464203893,-0.2000595494,0.3353269378,0.8870225551
5.0920000000,0.2438697558,-0.2008839096,0.3370032632,0.8869058561
5.1120000000,0.2413660010,-0.2017468376,0.3386938528,0.8867508901
5.1280000000,0.2393863674,-0.2024598006,0.3400524868,0.8866050431
5.1480000000,0.2369237472,-0.2033700578,0.3417487523,0.8864059724
5.1720000000,0.2339710164,-0.2044779755,0.3437777141,0.8861507796
5.1920000000,0.2315002411,-0.2054156916,0.3454484072,0.8859330844
5.2080000000,0.2295126760,-0.2061704504,0.3467757574,0.8857563158
5.2320000000,0.2265172588,-0.2072987206,0.3487569683,0.8854861653
5.2480000000,0.2245127421,-0.2080468039,0.3500715708,0.8853024632
5.2680000000,0.2219921779,-0.2089807860,0.3517057671,0.8850703686
5.2880000000,0.2194482245,-0.2099098417,0.3533238743,0.8848404235
5.3040000000,0.2173959216,-0.2106521522,0.3546066437,0.8846574548
5.3200000000,0.2153262656,-0.2113999153,0.3558715188,0.8844773243
5.3480000000,0.2116593705,-0.2127200493,0.3580526438,0.8841655930
5.3680000000,0.2089795035,-0.2136728196,0.3595426094,0.8839686676
5.3880000000,0.2062684687,-0.2146372637,0.3610085648,0.8837742811
5.4080000000,0.2035265716,-0.2156151075,0.3624493123,0.8835822294
5.4280000000,0.2007751161,-0.2166303990,0.3638745536,0.8833775706
5.4480000000,0.1980546173,-0.2177322185,0.3652918652,0.8831358349
5.4720000000,0.1948197906,-0.2191467002,0.3669848134,0.8828035567
5.4920000000,0.1921198197,-0.2203883898,0.3683593446,0.8825136405
5.5160000000,0.1888708764,-0.2219277318,0.3699859901,0.8821486502
5.5360000000,0.1861574410,-0.2232293593,0.3713385330,0.8818286422
5.5560000000,0.1834394532,-0.2245344624,0.3726863980,0.8814982082
5.5880000000,0.1790743494,-0.2265961986,0.3748183675,0.8809640921
5.6040000000,0.1768779212,-0.2275984412,0.3758403232,0.8807140297
5.6280000000,0.1735755577,-0.2290515199,0.3773418603,0.8803522292
5.6480000000,0.1708191572,-0.2302070078,0.3785763404,0.8800599432
5.6680000000,0.1680599862,-0.2312999786,0.3798027602,0.8797761217
5.6840000000,0.1658542490,-0.2321252003,0.3807808791,0.8795545359
5.7000000000,0.1636499512,-0.2329060255,0.3817519049,0.8793400707
5.7200000000,0.1609017493,-0.2338189117,0.3829576542,0.8790806440
5.7400000000,0.1581557252,-0.2346551112,0.3841472974,0.8788370721
5.7680000000,0.1543442454,-0.2357379602,0.3857990162,0.8785013302
5.7920000000,0.1511483004,-0.2366631596,0.3872076198,0.8781884760
5.8120000000,0.1485202928,-0.2374104479,0.3883769311,0.8779187669
5.8360000000,0.1453962334,-0.2382514761,0.3897707855,0.8775960940
5.8560000000,0.1428033056,-0.2388864638,0.3909163796,0.8773396477
5.8760000000,0.1402152873,-0.2394473872,0.3920553406,0.8770959080
5.8960000000,0.1376258899,-0.2399252631,0.3931864999,0.8768690660
5.9120000000,0.1355453551,-0.2402439930,0.3940722065,0.8767082620
5.9320000000,0.1329332181,-0.2405646936,0.3951546194,0.8765330653
5.9480000000,0.1308324792,-0.2407599035,0.3959965868,0.8764155604
5.9680000000,0.1281865444,-0.2409230480,0.3970179650,0.8762996236
5.9840000000,0.1260419429,-0.2409852098,0.3978035457,0.8762373516
6.0040000000,0.1233344121,-0.2409767670,0.3987510359,0.8761942889
6.0280000000,0.1200572351,-0.2408462598,0.3998520605,0.8761835819
6.0480000000,0.1173029017,-0.2406431333,0.4007382864,0.8762075881
6.0640000000,0.1150973759,-0.2404567320,0.4014300994,0.8762345744
6.0840000000,0.1123508195,-0.2402271609,0.4022778172,0.8762652351
6.1080000000,0.1090611864,-0.2399334959,0.4032651666,0.8763074692
6.1240000000,0.1068696522,-0.2397130870,0.4039072272,0.8763420937
6.1440000000,0.1041299287,-0.2393970873,0.4046906380,0.8763968736
6.1640000000,0.1013853048,-0.2390235183,0.4054468462,0.8764711248
6.1880000000,0.0980794357,-0.2384856475,0.4063191367,0.8765898581
6.2080000000,0.0953182928,-0.2379654944,0.4070157163,0.8767126400
6.2280000000,0.0925508109,-0.2373801217,0.4076814430,0.8768585212
6.2440000000,0.0903272530,-0.2368530566,0.4081789908,0.8770014415
6.2680000000,0.0869846616,-0.2359707325,0.4088922971,0.8772448754
6.2880000000,0.0841972987,-0.2351598395,0.4094589777,0.8774702333
6.3040000000,0.0819682349,-0.2344691003,0.4098942822,0.8776628777
6.3280000000,0.0786315101,-0.2333707473,0.4105154937,0.8779705060
6.3480000000,0.0758652774,-0.2324136477,0.4110168954,0.8782331511
6.3720000000,0.0725724124,-0.2313196855,0.4116408366,0.8785079793
6.3880000000,0.0703970316,-0.2306255828,0.4120490533,0.8786760928
6.4080000000,0.0676944151,-0.2297769092,0.4125523335,0.8788746272
6.4280000000,0.0650051730,-0.2289310465,0.4130453566,0.8790667988
6.4520000000,0.0617962532,-0.2278929699,0.4136189489,0.8792982329
6.4720000000,0.0591386072,-0.2269940608,0.4140805697,0.8794962213
6.4960000000,0.0559682643,-0.2258577929,0.4146041661,0.8797495076
6.5120000000,0.0538648622,-0.2250571334,0.4149363286,0.8799293759
6.5360000000,0.0507278832,-0.2237823414,0.4154081565,0.8802182735
6.5520000000,0.0486507457,-0.2228856889,0.4157058417,0.8804224712
6.5720000000,0.0460708551,-0.2217145678,0.4160600484,0.8806895951
6.5920000000,0.0435110258,-0.2204862426,0.4163928393,0.8809708343
6.6120000000,0.0409719057,-0.2192046877,0.4167060252,0.8812642603
6.6320000000,0.0384542686,-0.2178624013,0.4169985842,0.8815721321
6.6560000000,0.0354671385,-0.2161790541,0.4173406281,0.8819498278
6.6760000000,0.0330058364,-0.2147242952,0.4176194430,0.8822687190
6.6960000000,0.0305662261,-0.2132291682,0.4178830631,0.8825943424
6.7200000000,0.0276670559,-0.2113867057,0.4181823029,0.8829913681
6.7440000000,0.0247970580,-0.2095746688,0.4184706671,0.8833718724
6.7640000000,0.0224260079,-0.2081256066,0.4187071277,0.8836657441
6.7880000000,0.0196041059,-0.2064334389,0.4189825853,0.8839991558
6.8120000000,0.0168131608,-0.2047735099,0.4192816020,0.8843008908
6.8320000000,0.0144999147,-0.2034091830,0.4195217434,0.8845427992
6.8520000000,0.0121974828,-0.2020599690,0.4197542228,0.8847764592
6.8680000000,0.0103598494,-0.2009837320,0.4199237490,0.8849645518
6.8920000000,0.0076171718,-0.1993703993,0.4201568095,0.8852466763
6.9120000000,0.0053506218,-0.1980232128,0.4203374743,0.8854798619
6.9280000000,0.0035496356,-0.1969441945,0.4204737701,0.8856648311
6.9480000000,0.0013109264,-0.1955962895,0.4206360236,0.8858926056
6.9640000000,-0.0004677534,-0.1945198637,0.4207621571,0.8860705452
6.9880000000,-0.0031129205,-0.1929270326,0.4209493715,0.8863244871
7.0080000000,-0.0053039585,-0.1916867158,0.4211162226,0.8865039188
7.0320000000,-0.0079170883,-0.1902867397,0.4213270441,0.8866858510
7.0520000000,-0.0100800617,-0.1891761673,0.4215089925,0.8868150536
7.0680000000,-0.0118003989,-0.1883133946,0.4216580463,0.8869065949
7.0920000000,-0.0143529419,-0.1870481026,0.4219237816,0.8870103285
7.1120000000,-0.0164576866,-0.1860234068,0.4221538845,0.8870797791
7.1360000000,-0.0189583928,-0.1848225397,0.4224363037,0.8871464239
7.1520000000,-0.0206135014,-0.1840300324,0.4226203760,0.8871865917
7.1720000000,-0.0226647651,-0.1830414747,0.4228488327,0.8872322084
7.1920000000,-0.0246965001,-0.1820435760,0.4230742966,0.8872758077
7.2080000000,-0.0263086128,-0.1812280096,0.4232491695,0.8873130259
7.2280000000,-0.0283096478,-0.1801810658,0.4234631295,0.8873625670
7.2520000000,-0.0306876123,-0.1788781605,0.4237262062,0.8874215325
7.2680000000,-0.0322569288,-0.1779778563,0.4238964599,0.8874655850
7.2840000000,-0.0338107897,-0.1770497415,0.4240699448,0.8875105078
7.3040000000,-0.0357277392,-0.1758457569,0.4242907223,0.8875692544
7.3200000000,-0.0372413937,-0.1748473721,0.4244651023,0.8876208943
7.3400000000,-0.0391104928,-0.1735596928,0.4246795392,0.8876906507
7.3560000000,-0.0405831047,-0.1725132111,0.4248712653,0.8877367918
7.3760000000,-0.0424149751,-0.1712346336,0.4251160586,0.8877815085
7.4000000000,-0.0446134847,-0.1697529325,0.4254186457,0.8878133558
7.4200000000,-0.0464445504,-0.1685437846,0.4256824060,0.8878233978
7.4360000000,-0.0479056887,-0.1675778870,0.4259004308,0.8878240365
7.4560000000,-0.0497284066,-0.1663587622,0.4261683566,0.8878245207
7.4720000000,-0.0511844372,-0.1653696359,0.4263796744,0.8878251011
7.4960000000,-0.0533613171,-0.1638503209,0.4266669232,0.8878406269
7.5120000000,-0.0548098949,-0.1628115864,0.4268489618,0.8878559718
7.5320000000,-0.0566137174,-0.1614861887,0.4270708820,0.8878781220
7.5560000000,-0.0587687026,-0.1598550693,0.4273343755,0.8879064860
7.5720000000,-0.0602033910,-0.1587418179,0.4275010276,0.8879298724
7.5960000000,-0.0623481738,-0.1570343409,0.4277491859,0.8879659650
7.6120000000,-0.0637703613,-0.1558723433,0.4279175151,0.8879886001
7.6320000000,-0.0655438504,-0.1543952929,0.4281276794,0.8880162089
7.6480000000,-0.0669617302,-0.1531953502,0.4282872224,0.8880413090
7.6720000000,-0.0690814081,-0.1513676996,0.4285343499,0.8880731330
7.6920000000,-0.0708449573,-0.1498349967,0.4287493191,0.8880903598
7.7120000000,-0.0726316872,-0.1483544819,0.4289900272,0.8880783424
